segment_id,basin_id,slope_deg,aspect,curvature,twi,dist_to_fault_m,soil_saturation_pct,ari_7d,forecast_rain_3h,ndvi,label
SEG_0001,SUBANSIRI_VALLEY,52.54,263.52,0.00987,4.18,562.9,15.17,216.54,72.13,0.631,0
SEG_0002,SUBANSIRI_VALLEY,14.17,109.53,0.00248,8.05,1033.5,64.45,34.87,35.06,0.375,0
SEG_0003,BARAK_VALLEY,24.12,353.96,-0.00332,14.04,2387.5,50.09,3.32,113.06,0.522,0
SEG_0004,BRAHMAPUTRA_BASIN,39.21,158.45,-0.0378,8.93,139.7,90.93,64.69,79.5,0.334,0
SEG_0005,BRAHMAPUTRA_BASIN,33.39,11.27,0.03423,8.3,1395.1,92.47,181.82,39.18,0.528,0
SEG_0006,MANAS_RIVER_BASIN,24.43,97.69,0.03287,6.99,997.7,58.3,35.23,96.26,0.156,0
SEG_0007,TEESTA_VALLEY,43.61,71.54,-0.04945,13.42,2479.9,74.88,192.82,8.89,0.369,0
SEG_0008,MANAS_RIVER_BASIN,41.48,229.52,0.03872,8.61,436.2,73.48,190.2,67.35,0.678,1
SEG_0009,BARAK_VALLEY,31.14,153.91,-0.04746,3.51,129.4,66.64,78.59,61.03,0.781,0
SEG_0010,BARAK_VALLEY,15.15,339.43,0.00989,11.73,3084.0,65.57,73.91,12.66,0.442,0
SEG_0011,SUBANSIRI_VALLEY,14.33,321.32,0.00393,13.3,3138.4,38.3,27.51,27.35,0.42,0
SEG_0012,BARAK_VALLEY,25.87,79.96,-0.03801,6.73,3301.3,38.77,129.7,84.36,0.373,0
SEG_0013,TEESTA_VALLEY,17.7,88.88,0.01963,11.97,535.3,98.8,66.7,117.19,0.408,0
SEG_0014,TEESTA_VALLEY,16.98,52.16,-0.00105,15.8,862.4,69.82,190.4,28.52,0.646,0
SEG_0015,MANAS_RIVER_BASIN,36.62,228.07,0.00358,3.26,2926.9,38.55,46.63,4.89,0.543,0
SEG_0016,SUBANSIRI_VALLEY,52.03,143.13,0.00178,13.73,2371.4,75.43,52.27,64.97,0.622,0
SEG_0017,SUBANSIRI_VALLEY,13.75,353.58,0.00166,5.65,3487.0,95.92,139.57,105.92,0.242,0
SEG_0018,BARAK_VALLEY,47.82,145.62,0.03878,13.91,3276.0,79.9,167.25,69.68,0.379,0
SEG_0019,TEESTA_VALLEY,38.18,1.82,-0.03392,9.68,2427.8,68.02,56.07,85.46,0.278,0
SEG_0020,BARAK_VALLEY,37.88,204.59,-0.04063,7.15,942.9,31.72,243.25,47.17,0.769,0
SEG_0021,BARAK_VALLEY,26.72,126.03,0.01451,11.36,3027.3,30.49,124.8,68.64,0.676,0
SEG_0022,BARAK_VALLEY,42.39,343.11,-0.01692,9.74,2011.6,97.25,18.84,36.68,0.243,0
SEG_0023,TEESTA_VALLEY,20.85,61.02,0.00568,15.11,2442.2,60.74,24.29,73.8,0.843,0
SEG_0024,BRAHMAPUTRA_BASIN,21.13,305.52,-0.03634,11.92,1943.8,36.39,104.95,30.74,0.559,0
SEG_0025,SUBANSIRI_VALLEY,30.57,180.55,0.02983,11.1,2462.8,80.83,222.5,40.56,0.382,0
